;Ens1;Ens2
Mean;0.1114;0.0605
95low;0.0499;0.0064
95upp;0.1729;0.1146
90low;0.0601;0.0154
90upp;0.1627;0.1056
66low;0.0819;0.0346 
66upp;0.1409;0.0864
60low;0.0854;0.0377
60upp;0.1374;0.0833
