;Ens1;Ens2
Mean;0.10186;0.076018
95low;0.0261;-0.0055
95upp;0.1776;0.1575
90low;0.0384;0.0077
90upp;0.1653;0.1443
66low;0.0651;0.0365
66upp;0.1386;0.1155
60low;0.0695;0.0412
60upp;0.1342;0.1109

