;Ens1;Ens2
Mean;0.0624;0.0691
95low;0.0031;0.0112
95upp;0.1217;0.127
90low;0.0129;0.0208
90upp;0.1119;0.1174
66low;0.034;0.0413
66upp;0.0908;0.0969
60low;0.0374;0.0446
60upp;0.0874;0.0936
